datetime,log_source,src_ip,resolver_ip,query,type,answer,return_code
2024-06-14 21:57:21.993,dns_logger_1,7255:69cc:2755:29cf:dd9:d2bd:63f:75b5,cf71:121:ac3c:ca8a:7329:6771:5073:8ed7,hormonogenic.riskfulrakit.com,AAAA,d416:166c:4fc2:8d0f:6d7d:2b6:ea09:553f,0
2024-06-14 21:57:22.094,dns_logger_1,10.20.30.31,137.48.19.254,gyrostabilizer.unrelaxablemeliola.com,A,204.249.141.46,0
2024-06-14 21:57:22.195,dns_logger_1,4562:fa6d:2975:a4ae:ba51:acef:cd8c:3f0a,8341:7478:73cc:baa0:d303:78d1:d60a:8ce5,morale.hardtacksalpingotomy.com,AAAA,921d:55ae:127f:1ebc:8fd8:f78c:44ad:e62,0
2024-06-14 21:57:22.296,dns_logger_1,d91f:4752:5b02:c000:67b8:eb3e:1de3:6c8f,291e:8235:9d30:e404:eaa0:e768:8abc:b020,nirles.ankyloglossiafastidiousness.com,AAAA,a888:c832:2c2b:28bd:1c50:3207:d708:f8a6,0
2024-06-14 21:57:22.396,dns_logger_1,10.20.30.251,14.37.222.244,philosophical.desmoscolexsnakeweed.com,A,98.64.244.72,0
2024-06-14 21:57:22.497,dns_logger_1,a42e:ce55:94e8:fac9:1c1:9173:42c8:4280,eaba:c6e4:bd98:2f2:713:fad0:f2d3:4ac,embryulcus.bodymakingstasis.com,AAAA,654f:cb50:be1:5bdb:cbcb:e06:695b:8974,0
2024-06-14 21:57:22.598,dns_logger_1,10.20.30.123,80.153.152.19,nicker.uncunninglystereotypical.com,A,245.201.109.58,0
2024-06-14 21:57:22.699,dns_logger_1,849:7105:5fcc:efa7:7cdb:9858:6a66:72e8,b2c3:cdea:b159:759e:a948:b614:1644:f69f,podiatry.dysoxidationbefire.com,AAAA,d20c:f51a:8c81:9735:ad30:f6b3:ce98:d6d8,0
2024-06-14 21:57:22.800,dns_logger_1,10.20.30.239,139.101.158.168,scoptophilic.lumberersesiidae.com,A,184.219.2.250,0
2024-06-14 21:57:22.901,dns_logger_1,10.20.30.31,120.178.246.79,dreep.pageantrylangle.com,A,142.28.70.99,0
2024-06-14 21:57:23.001,dns_logger_1,8308:eb54:23fb:9244:70b8:aa92:ef7c:e2e1,50f2:300a:7dd:c9ef:114f:f8ce:1a40:e092,tyrannically.bleachhouseminglingly.com,AAAA,ac0a:299b:7f61:a292:417a:777e:ee21:d98e,0
2024-06-14 21:57:23.102,dns_logger_1,10.20.30.129,90.101.242.150,extrication.laemodipodawharl.com,A,186.228.201.113,0
2024-06-14 21:57:23.203,dns_logger_1,427:182f:e6ba:6587:3db9:a388:4b85:b28c,d089:54b2:38cc:1f83:6bb3:3d35:f052:59be,seventy.bogyismpurana.com,MX,alt1.mx.bogyismpurana.com,0
2024-06-14 21:57:23.304,dns_logger_1,10.20.30.132,101.48.185.11,cosubordinate.nardooasexuality.com,A,97.182.136.196,0
2024-06-14 21:57:23.405,dns_logger_1,10.20.30.201,63.45.156.167,fulica.northwestuselessness.com,A,237.207.229.9,0
2024-06-14 21:57:23.506,dns_logger_1,10.20.30.146,141.46.6.56,remi.sulphethylatecrenology.com,A,160.172.245.137,0
2024-06-14 21:57:23.606,dns_logger_1,10.20.30.64,233.87.232.162,annualize.subgovernorpancreatoduodenectomy.com,A,1.120.248.174,0
2024-06-14 21:57:23.707,dns_logger_1,9887:19e:a743:44cf:415f:eacd:49e8:4374,fad2:733d:af0d:9e2:61e1:1044:53f7:1835,abuzz.pentadecanetrepidancy.com,AAAA,65b0:4e0c:ef0b:ff97:1601:4fcb:1612:833,0
2024-06-14 21:57:23.808,dns_logger_1,10.20.30.224,82.50.99.70,sakalava.pseudonychiumsuperobedience.com,A,188.110.61.104,0
2024-06-14 21:57:23.909,dns_logger_1,10.20.30.52,210.6.23.36,overhelpful.irollermaker.com,A,74.14.94.128,0
2024-06-14 21:57:24.010,dns_logger_1,10.20.30.112,183.71.209.147,vomeropalatine.workednonvisional.com,A,163.182.249.133,0
2024-06-14 21:57:24.111,dns_logger_1,ceb4:9816:b29b:c093:714d:c624:a737:c65f,a9a4:cc92:3f8d:9cc6:73aa:e641:cf29:24ea,columnarian.saltimbankacosmic.com,AAAA,3a14:8cb2:c945:ae5f:b630:c918:ede7:1d6e,0
2024-06-14 21:57:24.212,dns_logger_1,bcd7:5f61:71e0:410:eaf0:b911:2a3a:54ed,4396:391c:f683:161e:12a6:e82a:22da:eac5,terpene.hingelesseverywhen.com,AAAA,32d4:742a:6373:d802:45c:601:5596:9b10,0
2024-06-14 21:57:24.313,dns_logger_1,11ad:352a:7629:adf3:aa25:6816:38e2:a41b,8ae1:5f18:b837:bbdb:1c70:de0a:98fe:b0fa,burst.prehandicappashadom.com,AAAA,8567:bb97:e717:948f:b8ed:8eab:c06b:694a,0
2024-06-14 21:57:24.414,dns_logger_1,3913:c304:4840:1404:7ff5:e3c8:3226:1d05,7722:f91:5a6a:cad9:cc50:922c:686b:5e26,agitprop.motherdomwoodcraft.com,AAAA,eab4:381e:1b6b:9819:def4:fc6c:1c57:7115,0
2024-06-14 21:57:24.514,dns_logger_1,10.20.30.51,19.56.0.176,semimembranosus.dodecafidprimordium.com,A,227.254.216.230,0
2024-06-14 21:57:24.615,dns_logger_1,b212:6f4e:3866:180c:aed0:dbd5:e9e9:856e,603d:72b2:3b3b:1d59:a715:388b:d44b:a1a6,avidya.perianaldockman.com,AAAA,8182:8e79:c3d5:131c:784f:6cff:8754:7353,0
2024-06-14 21:57:24.715,dns_logger_1,2855:6e50:3ad:e02f:462b:4563:3c11:6cbb,e6c8:350e:28bd:713:56b9:da59:b673:b5f5,tribute.musrolbalanus.com,MX,alt4.mx.musrolBalanus.com,0
2024-06-14 21:57:24.816,dns_logger_1,b356:961a:bd56:8438:dd08:3556:8f5a:645,b47f:ab48:9ce0:c627:a7d8:20bc:2ef6:7b8e,matweed.iranitwinner.com,AAAA,8041:3160:7f97:4989:facd:6c12:eaec:4b28,0
2024-06-14 21:57:24.917,dns_logger_1,10.20.30.229,86.122.2.244,foreworn.educableperidinieae.com,A,93.214.177.187,0
2024-06-14 21:57:25.018,dns_logger_1,10.20.30.75,187.182.17.28,sarcosperm.scleromerechromotypography.com,A,116.227.189.192,0
2024-06-14 21:57:25.119,dns_logger_1,9505:7d71:6bcd:1597:22d9:da1a:2977:707a,3d29:a79:5260:51c7:eafe:ad7c:dc54:e5e3,subglobulose.temptinglysaving.com,TXT,None,0
2024-06-14 21:57:25.220,dns_logger_1,10.20.30.179,77.55.80.243,garnishry.aluminiummetahewettite.com,A,95.89.172.12,0
2024-06-14 21:57:25.321,dns_logger_1,10.20.30.171,191.174.235.225,unleisurely.aggroupmentcousiness.com,A,243.14.50.198,0
2024-06-14 21:57:25.421,dns_logger_1,8374:a064:d9bb:53c1:9cf9:3caf:c871:e502,64e:ad1b:6a2f:3bc3:8a91:46d1:a3e2:6d74,didelphyidae.frontereugenically.com,AAAA,c413:e94e:cbde:db89:8869:206f:eb4a:e49e,0
2024-06-14 21:57:25.522,dns_logger_1,10.20.30.202,46.237.205.123,garden.rudimentarinessquinquefoliate.com,A,33.133.197.173,0
2024-06-14 21:57:25.623,dns_logger_1,10.20.30.139,103.163.125.253,warplane.replacersubequatorial.com,A,232.77.73.67,0
2024-06-14 21:57:25.723,dns_logger_1,10.20.30.218,1.148.55.48,superwealthy.underclothesserimeter.com,A,66.195.64.247,0
2024-06-14 21:57:25.824,dns_logger_1,23f1:cdf3:95ce:9387:9068:98bc:6cf0:8090,de22:1016:64b:3e1e:9b19:1a4:26b0:193c,unsuspectable.sericiculturalunfriarlike.com,AAAA,8fac:5b4e:b268:f95a:7391:d0a9:cad6:f074,0
2024-06-14 21:57:25.925,dns_logger_1,10.20.30.29,181.50.243.58,orobatoidea.avouchabletangs.com,A,83.62.83.165,0
2024-06-14 21:57:26.025,dns_logger_1,f957:cc95:256:a891:9c47:54ca:32c:f602,b10f:e9a4:db47:95e4:c137:3c47:fa15:e7bb,tragedienne.enviouslykhanda.com,AAAA,a90d:1fe7:1cda:4de9:acf1:7a59:a596:85ee,0
2024-06-14 21:57:26.126,dns_logger_1,bd13:4a7f:5eda:e91f:54d5:5199:889:3afc,f806:e392:93da:8af4:b676:e6d5:6a93:6cc1,misemphasis.microfilarialapicide.com,AAAA,b0dd:2f78:a139:5cfd:657e:dae:3477:73e,0
2024-06-14 21:57:26.227,dns_logger_1,10.20.30.238,237.152.141.123,overwhelming.shaveablemiltonist.com,A,198.181.238.143,0
2024-06-14 21:57:26.327,dns_logger_1,10.20.30.199,137.84.140.89,solidifier.unadulterouslyvulsellum.com,A,100.173.229.118,0
2024-06-14 21:57:26.428,dns_logger_1,76db:8671:897c:fc03:aafe:f5cb:deba:ff42,93ae:8ea5:2fea:ea81:d58a:4e6c:4946:ab39,lesion.unredeemablenesstrochlear.com,AAAA,5d81:b06d:da16:b54:a98c:8da3:6ccf:ea33,0
2024-06-14 21:57:26.529,dns_logger_1,a0b3:429c:16d5:c3c8:4d7a:409c:a3af:f116,18b4:c4d3:5a60:a9e5:4023:78f3:ff9f:dcde,iphimedia.provisionalpittine.com,SOA,None,0
2024-06-14 21:57:26.629,dns_logger_1,5bae:40c3:4f72:f497:ef87:4802:f15:5bf3,697a:9db6:75d3:d02f:f62:99a6:8eb2:27f6,countfish.kikkireincrease.com,AAAA,ebc3:f8d2:1225:59e7:643e:fd7a:ad24:99df,0
2024-06-14 21:57:26.730,dns_logger_1,4e6d:2338:aaa5:821b:542f:42f0:764b:15ac,aae4:59bd:9e0b:401c:9cb3:a48f:6bda:6798,unagreeably.sundownmonostomidae.com,TXT,None,0
2024-06-14 21:57:26.831,dns_logger_1,10.20.30.15,246.153.232.63,sextic.abrasionkristian.com,A,197.179.52.199,0
2024-06-14 21:57:26.931,dns_logger_1,10.20.30.37,130.229.96.139,microscope.altschincouma.com,A,0.16.175.48,0
2024-06-14 21:57:27.032,dns_logger_1,10.20.30.184,196.200.8.190,panhidrosis.timonismmazurian.com,A,199.118.193.13,0
2024-06-14 21:57:27.133,dns_logger_1,ef6c:7794:fd84:1b8a:f94b:4491:5e03:98f1,7629:7e9f:d9cf:6c9a:70d:f928:b5f5:12be,irritation.untwistedunaccreditated.com,AAAA,2e7f:b043:9bba:62cb:e1a0:810c:497a:1cd2,0
2024-06-14 21:57:27.234,dns_logger_1,10.20.30.250,114.21.196.144,unstandard.fraticellianfaulkland.com,A,236.230.46.23,0
2024-06-14 21:57:27.334,dns_logger_1,a11e:ef51:8612:1261:5462:b9ce:ddbd:b212,e619:c5a5:3bfc:deda:e9a5:a145:700:18f,preganglionic.dittyichthyomorphic.com,AAAA,9387:9673:f946:53be:1329:3338:e5dc:5f3a,0
2024-06-14 21:57:27.435,dns_logger_1,10.20.30.236,154.54.137.58,hanky.imbuebyzantine.com,A,207.175.68.159,0
2024-06-14 21:57:27.536,dns_logger_1,10.20.30.141,203.215.229.99,deobstruct.unpedanticcryptostomate.com,A,116.196.110.210,0
2024-06-14 21:57:27.637,dns_logger_1,10.20.30.41,81.19.16.145,microphagous.dextrogyrateunnominated.com,A,233.46.154.210,0
2024-06-14 21:57:27.738,dns_logger_1,10.20.30.99,155.211.202.245,concipient.timbrologisttiny.com,A,212.250.11.68,0
2024-06-14 21:57:27.839,dns_logger_1,10.20.30.36,188.154.233.40,transgressive.catboatmere.com,A,50.95.107.114,0
2024-06-14 21:57:27.939,dns_logger_1,10.20.30.32,20.124.99.148,catabolite.rubricizepseudoviperine.com,A,153.47.93.29,0
2024-06-14 21:57:28.040,dns_logger_1,10.20.30.208,233.143.128.225,apobiotic.neurotropiclutayo.com,A,233.57.104.8,0
2024-06-14 21:57:28.141,dns_logger_1,10.20.30.85,37.223.44.204,noncoercive.oenotheraceousoutcrawl.com,A,219.238.108.158,0
2024-06-14 21:57:28.242,dns_logger_1,1462:2a15:b47d:c3b:9bd4:2da:28d8:6c65,6289:d6a:51ca:5808:8959:583c:d2f1:78f8,flimsiness.nonnitrogenizedphilistine.com,MX,alt3.mx.nonnitrogenizedPhilistine.com,0
2024-06-14 21:57:28.343,dns_logger_1,c600:6291:5333:ea53:4b06:cc50:f769:b407,94aa:b325:8862:665e:3b97:3cc1:3ff6:a0ca,ankh.mercimentunimbued.com,AAAA,40d7:6ef:85ce:e543:8a06:e6fd:7e16:3291,0
2024-06-14 21:57:28.444,dns_logger_1,c1fa:2d71:21eb:74f6:b143:6d2f:ac1c:9208,5c2b:2eca:ef74:58f1:ce46:284d:2ab3:4c4,overswirling.minorationcartsale.com,AAAA,614c:63d5:fff1:268c:4841:684c:794c:80f9,0
2024-06-14 21:57:28.545,dns_logger_1,10.20.30.166,125.142.173.159,hammerheaded.asellidaepyrroporphyrin.com,A,209.78.207.196,0
2024-06-14 21:57:28.646,dns_logger_1,10.20.30.159,3.211.78.161,itacistic.quadruplyenantiomorphous.com,A,19.236.240.253,0
2024-06-14 21:57:28.746,dns_logger_1,10.20.30.159,92.76.211.39,sperrylite.aroidugrian.com,A,246.60.65.194,0
2024-06-14 21:57:28.847,dns_logger_1,10.20.30.94,159.197.133.33,natch.unspannedlomentaria.com,A,211.136.248.231,0
2024-06-14 21:57:28.948,dns_logger_1,10.20.30.68,150.118.11.121,hesychasm.overtarryorthocresol.com,A,28.226.65.63,0
2024-06-14 21:57:29.049,dns_logger_1,ea57:e5a9:980a:f74a:3243:173a:4e8f:f388,aaab:e677:8121:97d7:8122:12d1:4c6f:7280,extracolumella.collinglymethronic.com,AAAA,44f5:7768:175:ea27:b512:daa1:9ac9:98fa,0
2024-06-14 21:57:29.150,dns_logger_1,2ad8:b733:6b34:1d68:e30a:38e1:a34b:8935,fef4:fc24:4309:98b8:c74c:4e83:6ab9:3bbf,witchedly.translaybridgebote.com,AAAA,dbf5:5160:f81c:788b:b07b:dc32:6a07:9ead,0
2024-06-14 21:57:29.251,dns_logger_1,10.20.30.13,112.125.19.131,thrummers.soullessgeneratrix.com,A,48.118.222.28,0
2024-06-14 21:57:29.352,dns_logger_1,10.20.30.219,173.226.8.107,continuate.hamamelidaceaewhileen.com,A,143.223.213.202,0
2024-06-14 21:57:29.453,dns_logger_1,10.20.30.48,143.23.120.87,analyzable.yamanainuciferous.com,A,141.159.2.5,0
2024-06-14 21:57:29.553,dns_logger_1,10.20.30.103,90.19.250.202,horsehood.pentaerythritebeflap.com,A,93.99.167.219,0
2024-06-14 21:57:29.654,dns_logger_1,10.20.30.150,42.220.172.94,delocalization.bumptiouslyphthisiology.com,A,69.197.180.159,0
2024-06-14 21:57:29.755,dns_logger_1,3f30:e993:56a1:af40:ec18:b617:bcf1:5266,caa7:1674:7b9c:b543:8caa:4b05:8820:c6ee,dissuasiveness.prakritprusiano.com,AAAA,dc0d:ca1f:93c0:217f:d19c:951f:bc84:29f,0
2024-06-14 21:57:29.855,dns_logger_1,10.20.30.159,152.60.51.100,spectrometric.lachrymarysnowstorm.com,A,232.72.142.179,0
2024-06-14 21:57:29.956,dns_logger_1,5883:c85b:ceab:5ea9:224a:d601:2eb5:f51e,462a:ad94:7871:2436:31d0:dbed:2cea:9c67,precultivate.witchwifeultravirus.com,MX,alt1.mx.witchwifeultravirus.com,0
2024-06-14 21:57:30.057,dns_logger_1,10.20.30.99,205.77.204.173,nitwit.hashishthrenodian.com,A,29.79.153.82,0
2024-06-14 21:57:30.158,dns_logger_1,10.20.30.138,248.250.62.174,calabrese.dephlegmationscopic.com,A,118.154.89.8,0
2024-06-14 21:57:30.259,dns_logger_1,59de:d343:1913:649c:3ca:655:aafc:1456,edc0:8e6b:f844:19b6:de5b:fc8a:20c0:1e87,johnsonianism.grassweedzootechny.com,AAAA,dddb:6b3b:492e:9d06:3eb4:c8a5:9d9f:491,0
2024-06-14 21:57:30.359,dns_logger_1,3100:ca97:db98:2fd0:ac01:3407:5e5e:edbc,1cb6:3f8a:4688:6ed4:4a9d:bf43:4b1:41,counterwind.osmophoregabion.com,AAAA,ce5f:8abc:6f3f:fc08:450:df5d:a7a7:aeea,0
2024-06-14 21:57:30.460,dns_logger_1,10.20.30.28,146.101.173.62,sphygmodic.merosymmetricaltriactine.com,A,10.95.197.196,0
2024-06-14 21:57:30.561,dns_logger_1,5912:8254:eeb2:f36c:fdab:699:be18:a5f2,d6e4:a3a2:4a7f:6006:21b8:aad9:daa2:491c,skimmia.ditoneeyeshield.com,AAAA,473d:5776:7c4e:8f57:afb4:2aba:9724:efc6,0
2024-06-14 21:57:30.662,dns_logger_1,3a:20b4:8298:94b6:4a46:2133:7488:722d,12be:5b30:a717:33a1:6c46:cb60:9ef3:3854,unsaponified.gristleirrisoridae.com,AAAA,5420:55f3:35ab:ad2c:3717:f773:e982:8dd3,0
2024-06-14 21:57:30.763,dns_logger_1,10.20.30.36,99.242.245.29,unanalogousness.evangelizehaemodilution.com,A,153.29.224.77,0
2024-06-14 21:57:30.863,dns_logger_1,627:1953:2bc6:9eb5:43fe:5fea:3561:a8d9,1912:ef50:b737:353b:d49e:52b7:b4fa:9d70,globuliferous.comurmurerfeudalizable.com,AAAA,b7e0:61ca:2732:c872:19f9:31ba:9cb9:dba2,0
2024-06-14 21:57:30.964,dns_logger_1,10.20.30.201,67.244.240.148,statement.eniacsecessionalist.com,A,10.225.40.98,0
2024-06-14 21:57:31.065,dns_logger_1,10.20.30.193,165.155.89.126,crotalidae.amorphismknoll.com,A,243.221.151.154,0
2024-06-14 21:57:31.166,dns_logger_1,f4f:eb16:9a73:e1bd:ac15:c306:f753:4a2a,594f:b0a1:76ff:8e45:54a5:bfa0:bf60:668e,initialize.ryukyubasoko.com,AAAA,cfef:983d:1d8e:9efa:911a:ef42:b2ac:bb0d,0
2024-06-14 21:57:31.267,dns_logger_1,c357:e953:6faf:d699:fa1d:117c:b1da:8d7a,1852:35c2:7764:62fd:b569:3a01:8905:234c,cantabank.longiconepsychosynthetic.com,AAAA,e3c7:439d:11d:470c:6c96:91af:fd09:b9d6,0
2024-06-14 21:57:31.367,dns_logger_1,10.20.30.129,14.162.152.112,cyesis.allisionneathmost.com,A,175.235.92.60,0
2024-06-14 21:57:31.468,dns_logger_1,36f3:743a:72ee:34a6:d1f0:f9c8:ecaf:6aff,996:d742:b3fb:76c8:f218:30f0:3b63:6a8c,snirt.hoaxprooftimetaker.com,AAAA,f82f:5d31:5854:2bba:b7ea:3d4b:882a:c694,0
2024-06-14 21:57:31.569,dns_logger_1,35f9:1498:bf43:97c:ee6:97c0:83d9:887e,c5aa:a6d9:8e6c:34eb:fd3:3743:1869:62e1,afterthinker.clottednessdilligrout.com,AAAA,57df:a0aa:235a:1b82:4102:dc1e:3a39:c6d6,0
2024-06-14 21:57:31.669,dns_logger_1,10.20.30.204,170.209.224.54,saprogenic.porosisuncredible.com,A,239.27.145.42,0
2024-06-14 21:57:31.770,dns_logger_1,10.20.30.44,10.149.192.149,responsary.coletitdiazoamine.com,A,175.67.66.251,0
2024-06-14 21:57:31.871,dns_logger_1,799d:a65d:402c:6a33:5112:5c4e:606f:a2f2,649f:3e05:b8ae:846d:e4e1:2923:9c6d:66dc,chlorine.lyssainstitution.com,AAAA,223f:5abf:eb1a:2da:f993:d7fb:8a7b:14bc,0
2024-06-14 21:57:31.972,dns_logger_1,3c62:9020:48:fb90:cac9:1d4:e86a:6336,5437:2341:2236:61d8:cd2c:1bbd:5978:4a15,noticeably.gonnecirrostomi.com,AAAA,aaf8:ca0e:3aae:167b:7ea4:8c07:5463:f2ea,0
2024-06-14 21:57:32.073,dns_logger_1,10.20.30.58,181.9.156.137,salvaging.habenarlwo.com,A,85.62.239.65,0
2024-06-14 21:57:32.174,dns_logger_1,10.20.30.190,162.205.145.11,winchman.tileryhomoeotypic.com,A,112.0.26.207,0
2024-06-14 21:57:32.275,dns_logger_1,9ce:1c34:e518:f122:914:1b53:1ddd:553d,fea4:6e2d:4463:9d3e:db66:8232:da62:b329,backbencher.sixpennyworthhomotony.com,AAAA,a833:1121:1f2b:4b15:d810:38d5:e71a:b0e8,0
