datetime,log_source,protocol,src_ip,src_port,dst_ip,dst_port,bytes_in,bytes_out,packets_in,packets_out
2024-06-14 21:57:29.480,netflow_logger_1,TCP,10.20.30.200,10261,205.86.242.16,443,201529,142924,135,96
2024-06-14 21:57:29.580,netflow_logger_1,TCP,10.20.30.13,62679,5.88.104.41,80,33430,153275,23,103
2024-06-14 21:57:29.681,netflow_logger_1,TCP,10.20.30.33,38818,178.143.181.143,443,337292,242169,225,162
2024-06-14 21:57:29.782,netflow_logger_1,TCP,b704:69ba:c401:d818:e755:e567:c4c:c152,15594,938c:8d0:8360:8db3:580d:69fd:c57c:89cd,80,77211,160628,52,108
2024-06-14 21:57:29.882,netflow_logger_1,TCP,10.20.30.64,55987,46.63.33.209,25,319022,981,213,1
2024-06-14 21:57:29.983,netflow_logger_1,TCP,44a0:56f8:cd40:f867:3a69:752c:8d55:2a63,29877,67c1:27c:fc8c:2d67:415a:b7ba:2bf4:5aa8,80,121157,152427,81,102
2024-06-14 21:57:30.083,netflow_logger_1,TCP,10.20.30.1,49849,45.218.188.214,80,213195,281465,143,188
2024-06-14 21:57:30.184,netflow_logger_1,TCP,10.20.30.157,55654,134.220.127.61,22,66211,170021,45,114
2024-06-14 21:57:30.284,netflow_logger_1,TCP,2c37:5691:6ca8:7ca3:c4a8:4caa:2d6e:9496,22356,9dbd:422a:be1c:36bf:d333:1230:6701:b23,53,32161,451,22,1
2024-06-14 21:57:30.385,netflow_logger_1,TCP,b718:f929:8bd1:8c4a:90a:9600:3246:c308,64722,426e:92dc:ebc3:5a58:1fb1:f8be:3443:3b44,443,207651,66767,139,45
2024-06-14 21:57:30.485,netflow_logger_1,TCP,149f:62f3:b6e1:dd77:d3fa:60c7:a295:8264,36246,5dc6:b363:e577:93b2:7f41:64eb:195:fd22,443,395580,20602,264,14
2024-06-14 21:57:30.586,netflow_logger_1,TCP,10.20.30.142,56429,170.187.144.163,22,91560,132804,62,89
2024-06-14 21:57:30.687,netflow_logger_1,UDP,10.20.30.224,17897,29.160.108.111,443,363811,367980,243,246
2024-06-14 21:57:30.788,netflow_logger_1,TCP,10.20.30.245,61044,78.63.126.205,80,33565,246665,23,165
2024-06-14 21:57:30.888,netflow_logger_1,TCP,10.20.30.110,58454,210.238.187.139,443,471526,396356,315,265
2024-06-14 21:57:30.989,netflow_logger_1,TCP,10.20.30.45,29925,86.166.81.77,80,51587,17412,35,12
2024-06-14 21:57:31.090,netflow_logger_1,TCP,10.20.30.38,45212,115.75.91.40,80,350248,63281,234,43
2024-06-14 21:57:31.190,netflow_logger_1,TCP,10.20.30.156,25791,114.148.203.152,22,205375,115925,137,78
2024-06-14 21:57:31.291,netflow_logger_1,TCP,10.20.30.138,10037,56.139.38.143,443,220562,79379,148,53
2024-06-14 21:57:31.392,netflow_logger_1,TCP,10.20.30.103,63759,144.139.164.245,80,476113,353292,318,236
2024-06-14 21:57:31.493,netflow_logger_1,UDP,10.20.30.6,33415,35.101.26.77,80,461609,332682,308,222
2024-06-14 21:57:31.593,netflow_logger_1,TCP,10.20.30.254,59398,23.158.188.233,443,259244,28999,173,20
2024-06-14 21:57:31.694,netflow_logger_1,UDP,6a:8c1e:c3a3:191a:e52f:308:59af:a2d0,43883,717e:68dc:48ca:c6c3:ff49:8bb9:3166:5e6e,443,420587,118874,281,80
2024-06-14 21:57:31.795,netflow_logger_1,TCP,5a8e:f7a7:11a0:4a3d:804f:93bd:d28c:18cc,60300,ed27:11eb:7273:cecb:b29c:6efa:d40f:1b97,25,422528,14949,282,10
2024-06-14 21:57:31.896,netflow_logger_1,TCP,10.20.30.137,46586,109.72.132.130,80,117030,86267,79,58
2024-06-14 21:57:31.996,netflow_logger_1,UDP,10.20.30.113,40389,213.246.126.88,25,223200,13117,149,9
2024-06-14 21:57:32.097,netflow_logger_1,TCP,10.20.30.156,38799,71.36.3.46,443,17030,156161,12,105
2024-06-14 21:57:32.198,netflow_logger_1,TCP,10.20.30.51,13361,250.121.150.29,443,440446,189573,294,127
2024-06-14 21:57:32.299,netflow_logger_1,TCP,10.20.30.239,42937,126.196.141.251,443,455410,180310,304,121
2024-06-14 21:57:32.399,netflow_logger_1,TCP,10.20.30.235,35257,115.16.130.181,80,175183,191493,117,128
2024-06-14 21:57:32.500,netflow_logger_1,TCP,10.20.30.244,30838,23.89.108.250,443,138728,36553,93,25
2024-06-14 21:57:32.601,netflow_logger_1,TCP,10.20.30.108,24649,97.71.137.154,443,133144,115549,89,78
2024-06-14 21:57:32.702,netflow_logger_1,TCP,2203:aae3:e671:c298:a02c:9e88:dad7:f55a,19510,1c46:9c13:e1d4:a73d:f421:2aac:9906:b874,80,425316,364989,284,244
2024-06-14 21:57:32.803,netflow_logger_1,UDP,10.20.30.148,14859,207.32.5.97,443,403507,388172,270,259
2024-06-14 21:57:32.903,netflow_logger_1,TCP,10.20.30.214,41054,65.51.242.30,443,378070,185836,253,124
2024-06-14 21:57:33.004,netflow_logger_1,TCP,10.20.30.118,31330,113.132.211.63,25,110070,6979,74,5
2024-06-14 21:57:33.105,netflow_logger_1,TCP,d260:29ac:7b9f:484e:a00e:a99a:c8a0:a843,26517,3a99:617f:e6e9:40b2:d3fb:d09a:9ebe:eff9,443,432237,148203,289,99
2024-06-14 21:57:33.206,netflow_logger_1,UDP,52df:f719:474d:8fef:b8f:aea2:69a8:76ef,32291,bed7:5a0c:1aa0:36e8:b65b:2f9f:e467:1882,25,289911,23838,194,16
2024-06-14 21:57:33.307,netflow_logger_1,TCP,10.20.30.249,39516,249.181.231.209,443,29108,354734,20,237
2024-06-14 21:57:33.408,netflow_logger_1,UDP,10.20.30.249,12403,158.169.50.124,53,146305,339,98,1
2024-06-14 21:57:33.509,netflow_logger_1,TCP,10.20.30.198,54030,137.192.252.225,443,224580,362023,150,242
2024-06-14 21:57:33.610,netflow_logger_1,ICMP,10.20.30.171,0,227.165.13.194,0,2213,3374,2,3
2024-06-14 21:57:33.710,netflow_logger_1,TCP,10.20.30.8,16527,52.192.11.233,443,366686,42006,245,29
2024-06-14 21:57:33.811,netflow_logger_1,TCP,6dcf:1bc0:b5de:3a21:374e:dede:c3c7:e768,40814,89a8:9fa9:b53e:da5b:900f:ed42:317c:8a9b,443,29074,312210,20,209
2024-06-14 21:57:33.911,netflow_logger_1,TCP,10.20.30.5,48088,114.251.123.240,80,119350,294887,80,197
2024-06-14 21:57:34.012,netflow_logger_1,TCP,3d39:1256:b807:737:a6db:be82:1463:d51a,39542,b49e:efb3:bbb1:753d:1594:d78e:935c:c7c3,443,307951,340463,206,227
2024-06-14 21:57:34.113,netflow_logger_1,TCP,10.20.30.86,12472,170.11.34.132,443,394644,77036,264,52
2024-06-14 21:57:34.214,netflow_logger_1,TCP,10.20.30.100,51038,14.10.161.68,443,474127,95377,317,64
2024-06-14 21:57:34.315,netflow_logger_1,TCP,89c:f20a:36f8:a743:9115:13ac:4bf:5c79,57345,a4b1:572b:67d9:5b0e:9bb:f36e:7e6c:f263,443,355200,77605,237,52
2024-06-14 21:57:34.416,netflow_logger_1,TCP,10.20.30.129,19723,184.157.109.36,443,401081,303998,268,203
2024-06-14 21:57:34.517,netflow_logger_1,TCP,10.20.30.141,49140,27.140.206.163,25,350594,21202,234,15
2024-06-14 21:57:34.617,netflow_logger_1,UDP,3d3b:ac81:fe11:a6a0:43b5:810a:f134:4558,13186,10f7:8bfb:864:8440:493f:8525:2228:e2ee,443,182893,210841,122,141
2024-06-14 21:57:34.718,netflow_logger_1,UDP,10.20.30.99,50865,163.22.34.69,443,287404,181631,192,122
2024-06-14 21:57:34.819,netflow_logger_1,TCP,c426:40e5:c609:17d5:8515:3b36:8372:8864,59011,9478:d2c8:8255:d6b7:d9d9:2fb1:ee21:3ea9,80,165624,336898,111,225
2024-06-14 21:57:34.919,netflow_logger_1,TCP,ca01:39f7:90bd:b4ee:45b1:9347:6832:4d95,33802,3db9:38b0:cb38:7b9f:ba04:6acd:58c8:813d,443,176188,268955,118,180
2024-06-14 21:57:35.020,netflow_logger_1,TCP,d33:b1d8:802d:140d:fe9a:7d97:deab:c69a,30919,855c:189d:ac82:6184:23a3:818f:804c:678e,443,81264,135580,55,91
2024-06-14 21:57:35.121,netflow_logger_1,TCP,6b5b:fbd8:ca61:f3a2:a329:d56e:b13d:ec6a,32114,546f:231c:d66f:6dba:4b8:79d:4043:129,443,10677,266261,8,178
2024-06-14 21:57:35.222,netflow_logger_1,TCP,10.20.30.32,41969,255.255.208.193,22,33137,176097,23,118
2024-06-14 21:57:35.323,netflow_logger_1,TCP,8649:ea0:9adc:9e:109f:7029:64d4:f4c3,34084,b760:6871:7a06:2100:8ce6:7c58:f3c:7227,443,463571,91358,310,61
2024-06-14 21:57:35.423,netflow_logger_1,UDP,10.20.30.95,64056,212.2.230.5,443,85924,282824,58,189
2024-06-14 21:57:35.524,netflow_logger_1,UDP,2ae2:a52:907:600e:82e4:4bb0:3a89:3f67,48533,4c33:4c62:b6ee:ad41:9609:3199:c2b:c908,443,449194,139852,300,94
2024-06-14 21:57:35.625,netflow_logger_1,UDP,936a:2207:b42f:927c:dafe:6696:c4fb:7f7d,28265,b19c:221a:3a2d:ffb5:6c4f:2dba:b6b8:9024,443,248612,110511,166,74
2024-06-14 21:57:35.726,netflow_logger_1,TCP,9838:2079:6833:5327:7178:3b84:fc92:a317,63158,69be:3855:2b23:bc45:f563:26c:8e47:7b20,443,181506,138382,122,93
2024-06-14 21:57:35.827,netflow_logger_1,TCP,10.20.30.73,17598,174.102.216.108,80,496941,386583,332,258
2024-06-14 21:57:35.927,netflow_logger_1,UDP,10.20.30.43,40914,43.45.31.194,443,455240,261989,304,175
2024-06-14 21:57:36.028,netflow_logger_1,TCP,10.20.30.4,50689,125.54.209.35,443,464990,342403,310,229
2024-06-14 21:57:36.129,netflow_logger_1,TCP,10.20.30.100,48557,70.158.150.0,443,216111,83893,145,56
2024-06-14 21:57:36.230,netflow_logger_1,TCP,10.20.30.182,58127,10.144.24.46,443,187640,62519,126,42
2024-06-14 21:57:36.330,netflow_logger_1,TCP,10.20.30.207,25991,179.104.183.182,25,127808,15850,86,11
2024-06-14 21:57:36.431,netflow_logger_1,TCP,10.20.30.106,58925,174.226.109.85,443,347246,127634,232,86
2024-06-14 21:57:36.532,netflow_logger_1,TCP,10.20.30.50,45599,112.153.50.210,25,467688,14365,312,10
2024-06-14 21:57:36.632,netflow_logger_1,TCP,10.20.30.60,13965,91.116.151.153,80,99445,170852,67,114
2024-06-14 21:57:36.733,netflow_logger_1,TCP,10.20.30.184,30314,235.222.24.183,443,485811,346180,324,231
2024-06-14 21:57:36.834,netflow_logger_1,UDP,10.20.30.50,35395,196.85.143.233,53,397581,69,266,1
2024-06-14 21:57:36.934,netflow_logger_1,TCP,10.20.30.181,26957,104.90.6.161,443,53233,61465,36,41
2024-06-14 21:57:37.035,netflow_logger_1,TCP,10.20.30.169,28253,233.20.227.250,443,354658,213841,237,143
2024-06-14 21:57:37.136,netflow_logger_1,UDP,a91:ecd4:5d:1e64:8009:2ed3:3eaa:d465,24029,6f7f:afcf:8b7e:78bd:997e:a7c2:2e97:f94f,443,305434,169150,204,113
2024-06-14 21:57:37.236,netflow_logger_1,TCP,10.20.30.138,32571,41.82.244.66,443,271866,275276,182,184
2024-06-14 21:57:37.337,netflow_logger_1,UDP,3745:16ed:f30b:9942:d275:87db:5f93:baea,50812,7cc4:841:f5d9:fdb5:3fbf:e2b2:baff:a941,443,430721,196227,288,131
2024-06-14 21:57:37.438,netflow_logger_1,TCP,e6c:ec8a:6c34:7614:a15f:9ce2:2634:8a87,34296,7552:888d:eebd:32ec:5f51:b912:f01c:72d8,443,93387,65627,63,44
2024-06-14 21:57:37.538,netflow_logger_1,UDP,1aae:3db4:3de4:73c0:baa0:a3b8:1d79:f0b1,58005,a11:ec93:c8f2:e1f7:ee82:8d16:4831:1234,443,322832,86160,216,58
2024-06-14 21:57:37.639,netflow_logger_1,TCP,941c:5b10:9508:3c66:881f:bb07:c414:a2f1,37934,e67f:f8a0:bca2:f69e:fecf:87cd:a1b0:4810,80,68390,175673,46,118
2024-06-14 21:57:37.740,netflow_logger_1,TCP,10.20.30.194,39395,135.142.143.60,80,403995,21005,270,15
2024-06-14 21:57:37.840,netflow_logger_1,TCP,10.20.30.180,58225,102.41.197.200,443,482463,174266,322,117
2024-06-14 21:57:37.941,netflow_logger_1,UDP,10.20.30.147,27465,68.235.187.144,443,264603,103098,177,69
2024-06-14 21:57:38.042,netflow_logger_1,TCP,10.20.30.132,23025,231.71.207.245,80,323328,386633,216,258
2024-06-14 21:57:38.143,netflow_logger_1,TCP,10.20.30.77,21945,31.44.82.66,25,370009,6091,247,5
2024-06-14 21:57:38.244,netflow_logger_1,TCP,10.20.30.228,60864,42.76.153.142,443,71021,88078,48,59
2024-06-14 21:57:38.345,netflow_logger_1,TCP,10.20.30.84,58434,120.136.112.114,443,477586,261660,319,175
2024-06-14 21:57:38.446,netflow_logger_1,TCP,10.20.30.240,18116,40.189.167.187,443,422380,235187,282,157
2024-06-14 21:57:38.547,netflow_logger_1,TCP,10.20.30.97,19369,42.45.43.94,443,479334,173050,320,116
2024-06-14 21:57:38.647,netflow_logger_1,TCP,10.20.30.230,20182,50.70.190.145,443,378347,166494,253,111
2024-06-14 21:57:38.748,netflow_logger_1,TCP,10.20.30.104,43319,98.228.95.189,443,90264,244305,61,163
2024-06-14 21:57:38.849,netflow_logger_1,TCP,c575:438c:666:bbf7:360d:bccb:74c9:c0ce,10790,1dbe:ca6a:c1c9:e258:f232:9cff:2e96:d788,443,66479,9371,45,7
2024-06-14 21:57:38.949,netflow_logger_1,TCP,10.20.30.97,53996,221.37.79.73,443,195579,316048,131,211
2024-06-14 21:57:39.050,netflow_logger_1,TCP,bb44:bc1:8693:1e74:4301:3173:6c8:526b,10192,2ef1:b5c0:29b0:f4d5:37a4:ba1d:27fe:771b,443,108040,188485,73,126
2024-06-14 21:57:39.151,netflow_logger_1,UDP,730d:89e8:4488:8c72:a6e0:e0af:4321:666d,26841,cd36:a19a:eb7e:690f:93d1:acff:7403:3930,80,378578,309473,253,207
2024-06-14 21:57:39.252,netflow_logger_1,TCP,10.20.30.150,10978,71.207.250.60,22,455065,78893,304,53
2024-06-14 21:57:39.353,netflow_logger_1,TCP,10.20.30.181,41460,90.12.211.200,80,211689,188313,142,126
2024-06-14 21:57:39.454,netflow_logger_1,TCP,2ce7:932:8a:67e2:9eb4:eafd:7cc9:880d,65532,418:1813:cfdb:bb5:baec:67ef:edbf:ce9d,80,407904,110479,272,74
2024-06-14 21:57:39.555,netflow_logger_1,TCP,10.20.30.242,35287,186.200.202.186,25,195436,5134,131,4
2024-06-14 21:57:39.655,netflow_logger_1,TCP,10.20.30.192,50741,44.106.78.74,443,106992,390088,72,261
2024-06-14 21:57:39.756,netflow_logger_1,TCP,10.20.30.124,65126,121.138.159.109,443,494304,364047,330,243
2024-06-14 21:57:39.857,netflow_logger_1,TCP,10.20.30.102,53848,93.28.207.44,443,120619,41860,81,28
2024-06-14 21:57:39.958,netflow_logger_1,TCP,10.20.30.124,63670,229.110.154.30,22,256205,93976,171,63
2024-06-14 21:57:40.059,netflow_logger_1,TCP,71c6:45da:d5fc:e69e:1c0:f1f0:4514:97eb,53378,4abb:a39c:6158:fbf8:69d3:db64:8ea9:2637,80,468364,109566,313,74
2024-06-14 21:57:40.160,netflow_logger_1,TCP,10.20.30.235,40530,19.116.9.125,80,179266,395477,120,264
2024-06-14 21:57:40.261,netflow_logger_1,TCP,10.20.30.206,47201,63.178.117.169,443,102670,260710,69,174
2024-06-14 21:57:40.362,netflow_logger_1,TCP,34d2:f6e5:477:6965:9811:53f9:c853:c6d9,57400,8a74:f4d1:a97f:ad7d:e568:3721:2ca5:3c3b,443,364962,16483,244,11
2024-06-14 21:57:40.463,netflow_logger_1,TCP,d781:bd8f:c2dc:32f2:db38:a23f:7066:80e6,24366,7381:cae0:c6c6:7bbf:15c3:bca1:c8c8:1873,443,83445,299317,56,200
2024-06-14 21:57:40.564,netflow_logger_1,TCP,10.20.30.177,37197,81.9.192.61,443,219995,298371,147,199
2024-06-14 21:57:40.665,netflow_logger_1,TCP,dd9f:f0a8:50c3:723b:e712:7d77:ca7a:9af5,39806,db46:d0bf:eaf7:5442:6984:8fe2:fe38:b780,443,111955,160966,75,108
2024-06-14 21:57:40.765,netflow_logger_1,TCP,7370:1be4:bab7:9b17:2021:27b0:eb54:7ce3,20398,64df:dc8c:cea2:37e2:16c9:fab1:aaeb:e953,443,81428,237209,55,159
2024-06-14 21:57:40.866,netflow_logger_1,TCP,10.20.30.190,64695,240.229.113.181,443,330206,81365,221,55
2024-06-14 21:57:40.967,netflow_logger_1,TCP,9ade:1250:5588:7440:3389:e1bb:149e:6d9a,61584,9dff:addc:dedd:4979:ce9d:7f63:c200:acd5,443,79518,145542,54,98
2024-06-14 21:57:41.067,netflow_logger_1,UDP,4561:c0cd:ce9a:9fd8:72f5:5670:a739:51a7,22150,ff2e:abd9:8ba2:671a:5ded:1cb0:f0a2:c6be,25,37036,20365,25,14
2024-06-14 21:57:41.168,netflow_logger_1,TCP,10.20.30.95,43146,232.1.233.55,443,424308,84660,283,57
2024-06-14 21:57:41.269,netflow_logger_1,TCP,10.20.30.165,29773,170.27.224.222,53,104568,445,70,1
2024-06-14 21:57:41.369,netflow_logger_1,TCP,10.20.30.78,16459,6.230.162.139,25,37104,18837,25,13
2024-06-14 21:57:41.470,netflow_logger_1,TCP,4854:876c:541e:9024:f5f7:c02d:1853:7464,43551,4091:4a52:5fe4:5e6a:6742:5e4:4d94:45ce,443,162277,239332,109,160
2024-06-14 21:57:41.571,netflow_logger_1,UDP,10.20.30.62,37015,89.47.222.164,443,349788,80702,234,54
2024-06-14 21:57:41.672,netflow_logger_1,UDP,10.20.30.63,14244,17.93.121.195,443,376323,334740,251,224
2024-06-14 21:57:41.773,netflow_logger_1,TCP,10.20.30.149,17896,65.115.212.110,443,336569,49175,225,33
2024-06-14 21:57:41.874,netflow_logger_1,TCP,10.20.30.73,58786,209.51.245.18,443,251609,398542,168,266
2024-06-14 21:57:41.975,netflow_logger_1,TCP,10.20.30.132,56455,111.87.99.102,443,176625,234725,118,157
2024-06-14 21:57:42.075,netflow_logger_1,TCP,10.20.30.251,26213,104.39.127.36,25,376259,5322,251,4
2024-06-14 21:57:42.176,netflow_logger_1,TCP,10.20.30.9,24746,10.86.2.76,443,328644,126856,220,85
2024-06-14 21:57:42.277,netflow_logger_1,TCP,2f92:580:bfc8:5231:a68b:296c:4836:af35,29031,67ac:b7cd:a5a7:e4bd:559a:a8b0:8f39:e7a9,443,491446,221930,328,148
2024-06-14 21:57:42.378,netflow_logger_1,UDP,aad7:90d1:73de:f022:67f1:b029:f197:5805,49071,22a3:352d:cb63:9c8:d131:9a5:ff1a:d72d,443,11538,128248,8,86
2024-06-14 21:57:42.478,netflow_logger_1,TCP,a15b:2559:86c0:e3e1:6139:66e3:ec0a:8dfe,62640,a88b:d258:6351:4e00:94ff:5a30:8997:d43d,443,357117,341477,239,228
2024-06-14 21:57:42.579,netflow_logger_1,UDP,10.20.30.89,40869,127.208.63.176,53,279993,489,187,1
2024-06-14 21:57:42.680,netflow_logger_1,TCP,7376:283c:e484:eae5:5f0a:92fc:428b:37ec,19996,8420:e3ef:b167:48e4:4f70:8ded:8244:5f2c,22,110688,196031,74,131
2024-06-14 21:57:42.781,netflow_logger_1,UDP,10.20.30.122,18820,61.244.93.192,25,375213,3686,251,3
2024-06-14 21:57:42.882,netflow_logger_1,TCP,ac7e:cb50:35ea:310d:66b7:2297:4be3:be9f,56293,9fc9:cab1:86e9:500c:b52e:4074:7fc0:c3c7,25,431151,13229,288,9
2024-06-14 21:57:42.983,netflow_logger_1,TCP,10.20.30.182,22164,73.166.97.254,443,135740,41165,91,28
2024-06-14 21:57:43.083,netflow_logger_1,UDP,1a8b:8c5:5802:5245:a013:8eda:74e2:f545,63236,4947:cfc8:5ecd:5a7c:b872:9369:15b4:243d,80,317439,131301,212,88
2024-06-14 21:57:43.184,netflow_logger_1,TCP,10.20.30.156,47890,37.121.0.97,443,234626,78550,157,53
2024-06-14 21:57:43.285,netflow_logger_1,TCP,228e:77f3:1f37:c403:39ef:f8b8:356b:3fc5,20968,ec32:bc3f:f926:4f39:4e9:10e7:6d7d:9bb4,25,284357,13597,190,10
2024-06-14 21:57:43.385,netflow_logger_1,TCP,10.20.30.159,51670,34.41.232.132,80,119548,177946,80,119
2024-06-14 21:57:43.486,netflow_logger_1,ICMP,10.20.30.54,0,213.203.190.54,0,1286,2462,1,2
2024-06-14 21:57:43.586,netflow_logger_1,TCP,e436:ce2f:dc5d:b399:f8fe:416e:3d0f:4f65,38696,79ae:d0e7:157:2a4c:27e0:bcd8:36de:be6,443,302469,126700,202,85
2024-06-14 21:57:43.689,netflow_logger_1,UDP,10.20.30.225,25827,119.141.119.38,443,118641,65231,80,44
2024-06-14 21:57:43.789,netflow_logger_1,TCP,b318:4336:a7a:911a:2562:d010:1606:aa9d,46330,1dbc:bb0d:a180:7c5a:a3d1:c4d9:6b9f:fd26,443,158798,2960,106,2
2024-06-14 21:57:43.890,netflow_logger_1,TCP,10.20.30.68,10879,7.238.115.55,443,425448,333887,284,223
2024-06-14 21:57:43.991,netflow_logger_1,TCP,10.20.30.149,56651,80.93.211.138,443,367790,165942,246,111
2024-06-14 21:57:44.092,netflow_logger_1,TCP,10.20.30.164,62538,195.173.12.86,443,37922,244697,26,164
2024-06-14 21:57:44.192,netflow_logger_1,UDP,aa1e:9c0f:17bc:31e2:9bbc:8d68:9412:9537,30702,72f2:d06e:6eb8:3007:94c3:111e:e6ca:8a25,443,50503,309701,34,207
2024-06-14 21:57:44.293,netflow_logger_1,TCP,4649:2f1a:d747:2710:f0:c610:8591:a498,55424,2b9:b9b7:ca5d:48b7:e77e:400:d315:6893,443,17383,367772,12,246
2024-06-14 21:57:44.394,netflow_logger_1,TCP,10.20.30.171,47408,218.245.191.114,443,494269,110818,330,74
2024-06-14 21:57:44.495,netflow_logger_1,TCP,10.20.30.157,49047,42.126.165.175,443,405130,155615,271,104
2024-06-14 21:57:44.596,netflow_logger_1,TCP,385e:6638:78c4:a94:f71c:10c9:d590:9073,33061,18b:abd8:7978:31ad:ba49:f35a:9d02:4f83,80,359652,387095,240,259
2024-06-14 21:57:44.697,netflow_logger_1,TCP,d793:e362:a569:8b0d:2476:10fe:e538:3550,19788,93ca:2412:dc61:7a19:2811:b193:6d3:8912,25,452996,17657,302,12
2024-06-14 21:57:44.797,netflow_logger_1,UDP,10.20.30.222,38476,30.254.204.91,443,376618,207703,252,139
2024-06-14 21:57:44.898,netflow_logger_1,UDP,10.20.30.160,36023,111.22.41.137,443,267072,11539,179,8
2024-06-14 21:57:44.999,netflow_logger_1,TCP,10.20.30.0,64455,158.50.120.242,443,387008,211524,259,142
2024-06-14 21:57:45.100,netflow_logger_1,UDP,10.20.30.176,24751,94.122.209.76,443,192509,287308,129,192
2024-06-14 21:57:45.201,netflow_logger_1,TCP,10.20.30.204,34625,70.76.137.218,443,497909,328861,332,220
2024-06-14 21:57:45.302,netflow_logger_1,TCP,5a86:aa94:1e3b:3da0:d287:a582:ec4b:4a00,49123,7e83:90da:ad1a:3d17:400a:3817:ebe5:488e,80,126020,331000,85,221
2024-06-14 21:57:45.402,netflow_logger_1,TCP,10.20.30.70,35889,157.17.114.170,443,476006,29980,318,20
2024-06-14 21:57:45.505,netflow_logger_1,TCP,32c6:4f6d:341b:7c79:8b30:3c0d:d4f7:d586,54109,9f35:4c70:1ac6:34f0:eb25:39fa:aa5a:c973,22,353750,125406,236,84
2024-06-14 21:57:45.605,netflow_logger_1,TCP,17ba:64a6:a173:b378:7a7:bec3:7f62:dd7c,63218,4cc8:867b:dc28:af33:fd40:4ea1:adb2:887,80,78151,90632,53,61
2024-06-14 21:57:45.706,netflow_logger_1,TCP,10.20.30.32,45160,130.122.135.47,80,330415,100175,221,67
2024-06-14 21:57:45.807,netflow_logger_1,TCP,10.20.30.73,18927,132.76.35.132,443,361293,295695,241,198
2024-06-14 21:57:45.908,netflow_logger_1,TCP,10.20.30.206,34661,96.149.167.152,443,448623,81661,300,55
2024-06-14 21:57:46.009,netflow_logger_1,TCP,10.20.30.113,45017,83.50.44.85,443,196491,205116,131,137
2024-06-14 21:57:46.110,netflow_logger_1,TCP,8f3f:14f0:1c5d:1918:5620:f68:245e:361e,22752,c87f:15e3:5f50:407a:bdf:4d08:d4f6:b4fe,443,280929,300005,188,201
2024-06-14 21:57:46.210,netflow_logger_1,TCP,f145:399a:4af9:11d6:f436:10b9:653f:3e16,37104,9e7e:9595:147f:f855:e56f:ccf1:d753:f5d7,80,141704,110225,95,74
2024-06-14 21:57:46.311,netflow_logger_1,TCP,10.20.30.104,24314,165.198.45.127,443,391673,40723,262,28
2024-06-14 21:57:46.412,netflow_logger_1,TCP,96bf:3db8:27a0:42fb:fbe0:d6c4:6adc:82dc,36270,1de3:d81d:e085:fffa:d5aa:38e9:b9a3:3d61,22,425218,175170,284,117
2024-06-14 21:57:46.512,netflow_logger_1,UDP,10.20.30.74,58502,210.114.97.128,53,52188,424,35,1
